,Brite,Definition,Ensembl,Entry,KO,Module,Motif,Other DBs,Pathway,Gene_ID,Protein_ID,UniProt
6593,KEGG Orthology (KO) [BR:cre00001] ?Metabolism  Lipid metabolism  00564 Glycerophospholipid metabolism  CHLREDRAFT_79396 (EPT1)  00565 Ether lipid metabolism  CHLREDRAFT_79396 (EPT1)  Metabolism of other amino acids  00440 Phosphonate and phosphinate metabolism  CHLREDRAFT_79396 (EPT1) Enzymes [BR:cre01000] ?2. Transferases  2.7 Transferring phosphorus-containing groups  2.7.8 Transferases for other substituted phosphate groups  2.7.8.1 ethanolaminephosphotransferase  CHLREDRAFT_79396 (EPT1),(RefSeq) CDP-Ethanolamine:DAG ethanolamine phosphotransferase,CHLREDRAFT_79396,CHLREDRAFT_79396 CDS T01039,K00993 ethanolaminephosphotransferase [EC:2.7.8.1],"cre_M00092 Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE",Pfam:?CDP-OH_P_transf,NCBI-GeneID:?5718446NCBI-ProteinID:?XP_001692856JGI:?79396UniProt:?Q6U9W9,cre00440 Phosphonate and phosphinate metabolismcre00564 Glycerophospholipid metabolismcre00565 Ether lipid metabolismcre01100 Metabolic pathwayscre01110 Biosynthesis of secondary metabolites,5718446,XP_001692856,Q6U9W9
6594,KEGG Orthology (KO) [BR:cre00001] ?Metabolism  Carbohydrate metabolism  00650 Butanoate metabolism  CHLREDRAFT_79407  Amino acid metabolism  00360 Phenylalanine metabolism  CHLREDRAFT_79407 Enzymes [BR:cre01000] ?1. Oxidoreductases  1.1 Acting on the CH-OH group of donors  1.1.1 With NAD+ or NADP+ as acceptor  1.1.1.157 3-hydroxybutyryl-CoA dehydrogenase  CHLREDRAFT_79407,(RefSeq) 3-hydroxybutyryl-CoA dehydrogenase,CHLREDRAFT_79407,CHLREDRAFT_79407 CDS T01039,K00074 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157],,Pfam:?3HCDH_N 3HCDH adh_short_C2,NCBI-GeneID:?5718518NCBI-ProteinID:?XP_001692999JGI:?79407UniProt:?A8IVP3,cre00360 Phenylalanine metabolismcre00650 Butanoate metabolismcre01100 Metabolic pathways,5718518,XP_001692999,A8IVP3
6595,KEGG Orthology (KO) [BR:cre00001] ?Metabolism  Nucleotide metabolism  00230 Purine metabolism  CHLREDRAFT_79435 (RPB7B)  00240 Pyrimidine metabolism  CHLREDRAFT_79435 (RPB7B) ?Genetic Information Processing  Transcription  03020 RNA polymerase  CHLREDRAFT_79435 (RPB7B) Transcription machinery [BR:cre03021] ?Eukaryotic type  RNA polymerase III system  RNA polymerase III  Pol III specific subunits  CHLREDRAFT_79435 (RPB7B),"(RefSeq) DNA-directed RNA polymerase II, 19 kDa polypeptide",CHLREDRAFT_79435,CHLREDRAFT_79435 CDS T01039,K03022 DNA-directed RNA polymerase III subunit RPC8,"cre_M00181 RNA polymerase III, eukaryotes",Pfam:?RNA_pol_Rbc25 SHS2_Rpb7-N S1,NCBI-GeneID:?5718447NCBI-ProteinID:?XP_001692857JGI:?79435UniProt:?A8IVC2,cre00230 Purine metabolismcre00240 Pyrimidine metabolismcre01100 Metabolic pathwayscre03020 RNA polymerase,5718447,XP_001692857,A8IVC2
6596,Enzymes [BR:cre01000] ?5. Isomerases  5.2 cis-trans-Isomerases  5.2.1 cis-trans Isomerases (only sub-subclass identified to date)  5.2.1.8 peptidylprolyl isomerase  CHLREDRAFT_79446 (FKB16-3),"(RefSeq) peptidyl-prolyl cis-trans isomerase, FKBP-type",CHLREDRAFT_79446,CHLREDRAFT_79446 CDS T01039,K01802 peptidylprolyl isomerase [EC:5.2.1.8],,Pfam:?FKBP_C TAT_signal,NCBI-GeneID:?5718598NCBI-ProteinID:?XP_001692929JGI:?79446UniProt:?A8IW09,,5718598,XP_001692929,A8IW09
6597,KEGG Orthology (KO) [BR:cre00001] ?Metabolism  Overview  01200 Carbon metabolism  CHLREDRAFT_79471 (OGD1)  Carbohydrate metabolism  00020 Citrate cycle (TCA cycle)  CHLREDRAFT_79471 (OGD1)  Amino acid metabolism  00310 Lysine degradation  CHLREDRAFT_79471 (OGD1)  00380 Tryptophan metabolism  CHLREDRAFT_79471 (OGD1) Enzymes [BR:cre01000] ?1. Oxidoreductases  1.2 Acting on the aldehyde or oxo group of donors  1.2.4 With a disulfide as acceptor  1.2.4.2 oxoglutarate dehydrogenase (succinyl-transferring)  CHLREDRAFT_79471 (OGD1),"(RefSeq) 2-oxoglutarate dehydrogenase, E1 subunit",CHLREDRAFT_79471,CHLREDRAFT_79471 CDS T01039,K00164 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2],"cre_M00009 Citrate cycle (TCA cycle, Krebs cycle)cre_M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",Pfam:?Transket_pyr E1_dh OxoGdeHyase_C 2-oxogl_dehyd_N,NCBI-GeneID:?5718469NCBI-ProteinID:?XP_001692870JGI:?79471UniProt:?A8IVG0,cre00020 Citrate cycle (TCA cycle)cre00310 Lysine degradationcre00380 Tryptophan metabolismcre01100 Metabolic pathwayscre01110 Biosynthesis of secondary metabolitescre01200 Carbon metabolism,5718469,XP_001692870,A8IVG0
6598,KEGG Orthology (KO) [BR:cre00001] ?Genetic Information Processing  Translation  03013 RNA transport  CHLREDRAFT_79571 (EIF3I) Translation factors [BR:cre03012] ?Eukaryotic Type  Initiation factors  eIF-3  CHLREDRAFT_79571 (EIF3I),(RefSeq) eukaryotic initiation factor,CHLREDRAFT_79571,CHLREDRAFT_79571 CDS T01039,K03246 translation initiation factor 3 subunit I,,Pfam:?WD40 ANAPC4_WD40 Nup160 IRF,NCBI-GeneID:?5718721NCBI-ProteinID:?XP_001693266JGI:?79571UniProt:?A8IWL4,cre03013 RNA transport,5718721,XP_001693266,A8IWL4
6599,KEGG Orthology (KO) [BR:cre00001] ?Genetic Information Processing  Replication and repair  03030 DNA replication  CHLREDRAFT_79613  03420 Nucleotide excision repair  CHLREDRAFT_79613  03430 Mismatch repair  CHLREDRAFT_79613  03440 Homologous recombination  CHLREDRAFT_79613 Transcription factors [BR:cre03000] ?Eukaryotic Type  Zinc finger  Other Cys4 zinc finger factors  CHLREDRAFT_79613 DNA replication proteins [BR:cre03032] ?Eukaryotic Type  DNA Replication Elongation Factors  RPA (replication protein A)  CHLREDRAFT_79613 DNA repair and recombination proteins [BR:cre03400] ?Eukaryotic Type  SSBR (single strand breaks repair)  NER (nucleotide excision repair)  RPA (replication factor A)  CHLREDRAFT_79613  MMR (mismatch exicision repair)  CHLREDRAFT_79613  DSBR (double strand breaks repair)  HR (homologous recombination)  CHLREDRAFT_79613,(RefSeq) hypothetical protein,CHLREDRAFT_79613,CHLREDRAFT_79613 CDS T01039,K07466 replication factor A1,,,NCBI-GeneID:?5718809NCBI-ProteinID:?XP_001693165JGI:?79613UniProt:?A8IX19,cre03030 DNA replicationcre03420 Nucleotide excision repaircre03430 Mismatch repaircre03440 Homologous recombination,5718809,XP_001693165,A8IX19
6600,,(RefSeq) mitochondrial transcription termination factor,CHLREDRAFT_79755,CHLREDRAFT_79755 CDS T01039,,,Pfam:?mTERF HTH_IclR OmpA,NCBI-GeneID:?5719523NCBI-ProteinID:?XP_001693924JGI:?79755UniProt:?A8IXZ5,,5719523,XP_001693924,A8IXZ5
6601,"KEGG Orthology (KO) [BR:cre00001] ?Genetic Information Processing  Folding, sorting and degradation  04141 Protein processing in endoplasmic reticulum  CHLREDRAFT_79815 (RBX1)  04120 Ubiquitin mediated proteolysis  CHLREDRAFT_79815 (RBX1)  Replication and repair  03420 Nucleotide excision repair  CHLREDRAFT_79815 (RBX1) Ubiquitin system [BR:cre04121] ?Ubiquitin ligases (E3)  UBL E3 ligases  CHLREDRAFT_79815 (RBX1)  Multi subunit Ring-finger type E3  SCF complex  Ring finger protein  CHLREDRAFT_79815 (RBX1)  ECV complex  CHLREDRAFT_79815 (RBX1)  Cul3 complex  CHLREDRAFT_79815 (RBX1)  Cul4 complex  CHLREDRAFT_79815 (RBX1)  Cul7 complex  CHLREDRAFT_79815 (RBX1) DNA repair and recombination proteins [BR:cre03400] ?Eukaryotic Type  SSBR (single strand breaks repair)  NER (nucleotide excision repair)  GGR (global genome repair) factors  Cul4-DDB2 complex  CHLREDRAFT_79815 (RBX1)  TCR (transcription coupled repair) factors  Cul4-CSA complex  CHLREDRAFT_79815 (RBX1)",(RefSeq) ring-box protein,CHLREDRAFT_79815,CHLREDRAFT_79815 CDS T01039,K03868 RING-box protein 1,cre_M00384 Cul3-SPOP complexcre_M00386 Cul4-DDB1-CSA complexcre_M00387 SCF-FBW7 complex,Pfam:?zf-rbx1 zf-ANAPC11 zf-RING_2 zf-C3HC4_2 zf-C3HC4 zf-RING_UBOX Prok-RING_4 zf-RING_5 zf-C3HC4_3 Zn_ribbon_17 zf-RING_11 zf-Nse zf-C3HC4_4 Rtf2 zf-C3H2C3 zinc_ribbon_16,NCBI-GeneID:?5719541NCBI-ProteinID:?XP_001694081JGI:?79815UniProt:?A8IY22,cre03420 Nucleotide excision repaircre04120 Ubiquitin mediated proteolysiscre04141 Protein processing in endoplasmic reticulum,5719541,XP_001694081,A8IY22
6602,,(RefSeq) hypothetical protein,CHLREDRAFT_79831,CHLREDRAFT_79831 CDS T01039,,,Pfam:?ABC2_membrane ABC_tran ABC2_membrane_3 AAA_16 AAA_25 AAA_21 AAA_29 RsgA_GTPase ABC2_membrane_2 AAA,NCBI-GeneID:?5719603NCBI-ProteinID:?XP_001693973JGI:?79831UniProt:?A8IYC3,,5719603,XP_001693973,A8IYC3
6603,,(RefSeq) plastid ribosomal protein S1,CHLREDRAFT_79955,CHLREDRAFT_79955 CDS T01039,,,Pfam:?S1 DUF2110 IF3_C,NCBI-GeneID:?5720139NCBI-ProteinID:?XP_001694485JGI:?79955UniProt:?Q70DX8,,5720139,XP_001694485,Q70DX8
6604,,(RefSeq) hypothetical protein,CHLREDRAFT_80188,CHLREDRAFT_80188 CDS T01039,,,Pfam:?NAD_Gly3P_dh_N NAD_Gly3P_dh_C F420_oxidored NAD_binding_2 ApbA 3HCDH_N Rossmann-like GIDA 2-Hacid_dh_C Pyr_redox_2 DAO UDPG_MGDP_dh_N,NCBI-GeneID:?5720573NCBI-ProteinID:?XP_001694910JGI:?80188UniProt:?A8J130,,5720573,XP_001694910,A8J130
6605,,(RefSeq) low CO2 inducible gene,CHLREDRAFT_80348,CHLREDRAFT_80348 CDS T01039,,,,NCBI-GeneID:?5721413NCBI-ProteinID:?XP_001695920JGI:?80348UniProt:?O81648,,5721413,XP_001695920,O81648
6606,KEGG Orthology (KO) [BR:cre00001] ?Genetic Information Processing  Transcription  03040 Spliceosome  CHLREDRAFT_80366 Spliceosome [BR:cre03041] ?Common components  Common spliceosomal components  SR proteins  CHLREDRAFT_80366,(RefSeq) hypothetical protein,CHLREDRAFT_80366,CHLREDRAFT_80366 CDS T01039,"K12893 splicing factor, arginine/serine-rich 4/5/6",,Pfam:?RRM_1 RRM_5 DbpA RRM_3 RNA_bind Nup35_RRM_2 Calcipressin SelP_N,NCBI-GeneID:?5721439NCBI-ProteinID:?XP_001695822JGI:?80366UniProt:?A8J3I9,cre03040 Spliceosome,5721439,XP_001695822,A8J3I9
6607,,"(RefSeq) 3',5'-cyclic-nucleotide phosphodiesterase",CHLREDRAFT_80458,CHLREDRAFT_80458 CDS T01039,,,Pfam:?PDEase_I,NCBI-GeneID:?5721066NCBI-ProteinID:?XP_001695387JGI:?80458UniProt:?A8J2G0,,5721066,XP_001695387,A8J2G0
6608,"KEGG Orthology (KO) [BR:cre00001] ?Cellular Processes  Transport and catabolism  04144 Endocytosis  CHLREDRAFT_80582 (SNF7) Membrane trafficking [BR:cre04131] ?Endosome - Lysosome transport  Endosomal sorting complexes required for transport (ESCRT)  ESCRT-III complex  CHLREDRAFT_80582 (SNF7) Exosome [BR:cre04147] ?Exosomal proteins  Exosomal proteins of haemopoietic cells (B-cell, T-cell, DC-cell, reticulocyte, and mast cell)  CHLREDRAFT_80582 (SNF7)  Exosomal proteins of other body fluids (saliva and urine)  CHLREDRAFT_80582 (SNF7)  Exosomal proteins of colorectal cancer cells  CHLREDRAFT_80582 (SNF7)",(RefSeq) component of the ESCRT-III complex,CHLREDRAFT_80582,CHLREDRAFT_80582 CDS T01039,K12194 charged multivesicular body protein 4,cre_M00412 ESCRT-III complex,Pfam:?Snf7 p450,NCBI-GeneID:?5720943NCBI-ProteinID:?XP_001695329JGI:?80582UniProt:?A8J237,cre04144 Endocytosis,5720943,XP_001695329,A8J237
6609,"KEGG Orthology (KO) [BR:cre00001] ?Genetic Information Processing  Folding, sorting and degradation  04141 Protein processing in endoplasmic reticulum  CHLREDRAFT_80907  Replication and repair  03420 Nucleotide excision repair  CHLREDRAFT_80907 Proteasome [BR:cre03051] ?Eukaryotic proteasome  Proteasome interacting proteins (PIPs)  UBL-UBA shuttle proteins  CHLREDRAFT_80907 DNA repair and recombination proteins [BR:cre03400] ?Eukaryotic Type  SSBR (single strand breaks repair)  NER (nucleotide excision repair)  GGR (global genome repair) factors  XPC-HR23B-CETN2 complex  CHLREDRAFT_80907",(RefSeq) hypothetical protein,CHLREDRAFT_80907,CHLREDRAFT_80907 CDS T01039,K10839 UV excision repair protein RAD23,,Pfam:?UBA XPC-binding ubiquitin DUF2407 Rad60-SLD_2 Rad60-SLD GHMP_kinases_C,NCBI-GeneID:?5721666NCBI-ProteinID:?XP_001696050JGI:?80907UniProt:?A8J409,cre03420 Nucleotide excision repaircre04141 Protein processing in endoplasmic reticulum,5721666,XP_001696050,A8J409
6610,Cytoskeleton proteins [BR:cre04812] ?Eukaryotic cytoskeleton proteins  Microtubules  Tubulin-binding proteins  Katanin  CHLREDRAFT_80954 (PF15),(RefSeq) katanin p80 subunit,CHLREDRAFT_80954,CHLREDRAFT_80954 CDS T01039,K18643 katanin p80 WD40 repeat-containing subunit B1,,Pfam:?WD40 Katanin_con80 ANAPC4_WD40 eIF2A Ge1_WD40,NCBI-GeneID:?5722989NCBI-ProteinID:?XP_001697423JGI:?80954UniProt:?A8J7C9,,5722989,XP_001697423,A8J7C9
6611,KEGG Orthology (KO) [BR:cre00001] ?Genetic Information Processing  Transcription  03040 Spliceosome  CHLREDRAFT_81024 Spliceosome [BR:cre03041] ?Complex A  U2 snRNP components  U2 snRNP specific factors  CHLREDRAFT_81024 ?Complex B  CHLREDRAFT_81024 ?Complex C  U2 SnRNP specific factors  CHLREDRAFT_81024,(RefSeq) hypothetical protein,CHLREDRAFT_81024,CHLREDRAFT_81024 CDS T01039,K12833 pre-mRNA branch site protein p14,"cre_M00352 Spliceosome, U2-snRNP",Pfam:?RRM_1 RRM_5 Nup35_RRM_2 RRM_7,NCBI-GeneID:?5723015NCBI-ProteinID:?XP_001697436JGI:?81024UniProt:?A8J7F5,cre03040 Spliceosome,5723015,XP_001697436,A8J7F5
6612,,(RefSeq) mitochondrial ribosomal protein S14,CHLREDRAFT_81150,CHLREDRAFT_81150 CDS T01039,,,Pfam:?Ribosomal_S14,NCBI-GeneID:?5722788NCBI-ProteinID:?XP_001697160JGI:?81150UniProt:?A8J6P9,,5722788,XP_001697160,A8J6P9
6613,,(RefSeq) hypothetical protein,CHLREDRAFT_81156,CHLREDRAFT_81156 CDS T01039,,,Pfam:?ABC_tran AAA_21 AAA_15 AAA_29 AAA_23 MMR_HSR1 Mg_chelatase Zeta_toxin AAA_30 AAA_16,NCBI-GeneID:?5722689NCBI-ProteinID:?XP_001697113JGI:?81156UniProt:?A8J6E9,,5722689,XP_001697113,A8J6E9
6614,"KEGG Orthology (KO) [BR:cre00001] ?Cellular Processes  Transport and catabolism  04144 Endocytosis  CHLREDRAFT_81259 (RABF1)  04145 Phagosome  CHLREDRAFT_81259 (RABF1) Membrane trafficking [BR:cre04131] ?Endocytosis  Rab GTPases and associated proteins  Rab GTPases  CHLREDRAFT_81259 (RABF1) ?Endosome - Lysosome transport  CHLREDRAFT_81259 (RABF1) Exosome [BR:cre04147] ?Exosomal proteins  Exosomal proteins of haemopoietic cells (B-cell, T-cell, DC-cell, reticulocyte, and mast cell)  CHLREDRAFT_81259 (RABF1)  Exosomal proteins of other body fluids (saliva and urine)  CHLREDRAFT_81259 (RABF1)  Exosomal proteins of colorectal cancer cells  CHLREDRAFT_81259 (RABF1)  Exosomal proteins of bladder cancer cells  CHLREDRAFT_81259 (RABF1) GTP-binding proteins [BR:cre04031] ?Small (Monomeric) G-proteins  Rab Family  Rab5/17/22/31 [OT]  CHLREDRAFT_81259 (RABF1)",(RefSeq) small rab-related GTPase,CHLREDRAFT_81259,CHLREDRAFT_81259 CDS T01039,K07889 Ras-related protein Rab-5C,,Pfam:?Ras Roc Arf MMR_HSR1 Gtr1_RagA AAA_22 AAA_16 GTP_EFTU SRPRB ABC_tran G-alpha TsaE AAA_29,NCBI-GeneID:?5722641NCBI-ProteinID:?XP_001696957JGI:?81259UniProt:?A8J6A0,cre04144 Endocytosiscre04145 Phagosome,5722641,XP_001696957,A8J6A0
6615,,(RefSeq) flagellar associated protein,CHLREDRAFT_8129,CHLREDRAFT_8129 CDS T01039,,,Pfam:?Ank_2 Ank_4 Ank_5 Ank_3 Ank HET,NCBI-GeneID:?5726300NCBI-ProteinID:?XP_001700925JGI:?8129UniProt:?A8I5I0,,5726300,XP_001700925,A8I5I0
6616,"KEGG Orthology (KO) [BR:cre00001] ?Genetic Information Processing  Folding, sorting and degradation  03060 Protein export  CHLREDRAFT_81427 Enzymes [BR:cre01000] ?3. Hydrolases  3.6 Acting on acid anhydrides  3.6.5 Acting on GTP to facilitate cellular and subcellular movement  3.6.5.4 signal-recognition-particle GTPase  CHLREDRAFT_81427 Secretion system [BR:cre02044] ?Sec (secretion) system  Bacterial Sec-SRP core components [MD:M00335]  CHLREDRAFT_81427  Eukaryotic Sec-SRP protein  CHLREDRAFT_81427",(RefSeq) chloroplast SRP54 subunit of signal recognition particle,CHLREDRAFT_81427,CHLREDRAFT_81427 CDS T01039,K03106 signal recognition particle subunit SRP54 [EC:3.6.5.4],,Pfam:?SRP54 SRP_SPB SRP54_N CbiA AAA_22 ArsA_ATPase AAA_31 ParA AAA_16 Ehrlichia_rpt AAA_14 NACHT TPP_enzyme_M ResIII AAA_33 AAA_30,NCBI-GeneID:?5722916NCBI-ProteinID:?XP_001697320JGI:?81427UniProt:?A8J758,cre03060 Protein export,5722916,XP_001697320,A8J758
6617,"KEGG Orthology (KO) [BR:cre00001] ?Metabolism  Carbohydrate metabolism  00010 Glycolysis / Gluconeogenesis  CHLREDRAFT_81483 (GPM1a)  00030 Pentose phosphate pathway  CHLREDRAFT_81483 (GPM1a)  00052 Galactose metabolism  CHLREDRAFT_81483 (GPM1a)  00500 Starch and sucrose metabolism  CHLREDRAFT_81483 (GPM1a)  00520 Amino sugar and nucleotide sugar metabolism  CHLREDRAFT_81483 (GPM1a)  Nucleotide metabolism  00230 Purine metabolism  CHLREDRAFT_81483 (GPM1a) Enzymes [BR:cre01000] ?5. Isomerases  5.4 Intramolecular transferases  5.4.2 Phosphotransferases (phosphomutases)  5.4.2.2 phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent)  CHLREDRAFT_81483 (GPM1a)",(RefSeq) phosphoglucomutase,CHLREDRAFT_81483,CHLREDRAFT_81483 CDS T01039,K01835 phosphoglucomutase [EC:5.4.2.2],"cre_M00549 Nucleotide sugar biosynthesis, glucose => UDP-glucose",Pfam:?PGM_PMM_I PGM_PMM_III PGM_PMM_II PGM_PMM_IV,NCBI-GeneID:?5723630NCBI-ProteinID:?XP_001697991JGI:?81483UniProt:?A8J8Z1,cre00010 Glycolysis / Gluconeogenesiscre00030 Pentose phosphate pathwaycre00052 Galactose metabolismcre00230 Purine metabolismcre00500 Starch and sucrose metabolismcre00520 Amino sugar and nucleotide sugar metabolismcre01100 Metabolic pathwayscre01110 Biosynthesis of secondary metabolites,5723630,XP_001697991,A8J8Z1
6618,"KEGG Orthology (KO) [BR:cre00001] ?Genetic Information Processing  Folding, sorting and degradation  03050 Proteasome  CHLREDRAFT_81593 (RPN10) Proteasome [BR:cre03051] ?Eukaryotic proteasome  Regulatory particles  PA700 (19S proteasome)  non-ATPase subunits  CHLREDRAFT_81593 (RPN10)",(RefSeq) 26S proteasome regulatory subunit,CHLREDRAFT_81593,CHLREDRAFT_81593 CDS T01039,K03029 26S proteasome regulatory subunit N10,"cre_M00341 Proteasome, 19S regulatory particle (PA700)",Pfam:?VWA_2 Ssl1 VWA PDH KRE9,NCBI-GeneID:?5723522NCBI-ProteinID:?XP_001697888JGI:?81593UniProt:?A8J8U1,cre03050 Proteasome,5723522,XP_001697888,A8J8U1
6619,,(RefSeq) hypothetical protein,CHLREDRAFT_81764,CHLREDRAFT_81764 CDS T01039,,,Pfam:?UPF0004 Radical_SAM TRAM DUF4855,NCBI-GeneID:?5724364NCBI-ProteinID:?XP_001698765JGI:?81764UniProt:?A8JA29,,5724364,XP_001698765,A8JA29
6620,,(RefSeq) hypothetical protein,CHLREDRAFT_81856,CHLREDRAFT_81856 CDS T01039,,,Pfam:?Bac_globin Protoglobin,NCBI-GeneID:?5724558NCBI-ProteinID:?XP_001699005JGI:?81856UniProt:?A8JAR4,,5724558,XP_001699005,A8JAR4
6621,,(RefSeq) iron-containing aldehyde-alcohol dehydrogenase,CHLREDRAFT_82021,CHLREDRAFT_82021 CDS T01039,,,Pfam:?Fe-ADH Fe-ADH_2,NCBI-GeneID:?5724777NCBI-ProteinID:?XP_001699167JGI:?82021UniProt:?A8JB39,,5724777,XP_001699167,A8JB39
6622,,(RefSeq) hypothetical protein,CHLREDRAFT_82040,CHLREDRAFT_82040 CDS T01039,,,Pfam:?MFS_5 MFS_1 FixQ,NCBI-GeneID:?5724918NCBI-ProteinID:?XP_001699326JGI:?82040UniProt:?A8JBM0,,5724918,XP_001699326,A8JBM0
6623,"KEGG Orthology (KO) [BR:cre00001] ?Genetic Information Processing  Folding, sorting and degradation  04141 Protein processing in endoplasmic reticulum  CHLREDRAFT_82091 (SAR1) Enzymes [BR:cre01000] ?3. Hydrolases  3.6 Acting on acid anhydrides  3.6.5 Acting on GTP to facilitate cellular and subcellular movement  3.6.5.- CHLREDRAFT_82091 (SAR1) Membrane trafficking [BR:cre04131] ?Endoplasmic reticulum (ER) - Golgi transport  Forward pathways  Coat protein complex II (COP-II)  CHLREDRAFT_82091 (SAR1) GTP-binding proteins [BR:cre04031] ?Small (Monomeric) G-proteins  Arf/Sar Family  Sar  CHLREDRAFT_82091 (SAR1)",(RefSeq) sar-type small GTPase,CHLREDRAFT_82091,CHLREDRAFT_82091 CDS T01039,K07953 GTP-binding protein SAR1 [EC:3.6.5.-],cre_M00404 COPII complex,Pfam:?Arf SRPRB Roc G-alpha MMR_HSR1 Ras Gtr1_RagA PduV-EutP Antibiotic_NAT,NCBI-GeneID:?5725046NCBI-ProteinID:?XP_001699537JGI:?82091UniProt:?A8JC30,cre04141 Protein processing in endoplasmic reticulum,5725046,XP_001699537,A8JC30
6624,KEGG Orthology (KO) [BR:cre00001] ?Genetic Information Processing  Translation  03010 Ribosome  CHLREDRAFT_82172 (RPP1) Ribosome [BR:cre03011] ?Ribosomal Proteins  Eukaryotes  Large subunit  CHLREDRAFT_82172 (RPP1),(RefSeq) acidic ribosomal protein P1,CHLREDRAFT_82172,CHLREDRAFT_82172 CDS T01039,K02942 large subunit ribosomal protein LP1,"cre_M00177 Ribosome, eukaryotes",Pfam:?Ribosomal_60s,NCBI-GeneID:?5725138NCBI-ProteinID:?XP_001699629JGI:?82172UniProt:?P29763 A8JCC6,cre03010 Ribosome,5725138,XP_001699629,P29763 A8JCC6
6625,KEGG Orthology (KO) [BR:cre00001] ?Metabolism  Metabolism of other amino acids  00480 Glutathione metabolism  CHLREDRAFT_82208 Enzymes [BR:cre01000] ?3. Hydrolases  3.4 Acting on peptide bonds (peptidases)  3.4.11 Aminopeptidases  3.4.11.1 leucyl aminopeptidase  CHLREDRAFT_82208 Peptidases [BR:cre01002] ?Metallo Peptidases  Family M17: leucyl aminopeptidase family  CHLREDRAFT_82208,(RefSeq) hypothetical protein,CHLREDRAFT_82208,CHLREDRAFT_82208 CDS T01039,K01255 leucyl aminopeptidase [EC:3.4.11.1],,Pfam:?Peptidase_M17 Peptidase_M17_N,NCBI-GeneID:?5725827NCBI-ProteinID:?XP_001700276JGI:?82208UniProt:?A8JCW5,cre00480 Glutathione metabolismcre01100 Metabolic pathways,5725827,XP_001700276,A8JCW5
6626,"KEGG Orthology (KO) [BR:cre00001] ?Metabolism  Overview  01230 Biosynthesis of amino acids  CHLREDRAFT_82364 (HIS6)  Amino acid metabolism  00340 Histidine metabolism  CHLREDRAFT_82364 (HIS6) Enzymes [BR:cre01000] ?5. Isomerases  5.3 Intramolecular oxidoreductases  5.3.1 Interconverting aldoses and ketoses, and related compounds  5.3.1.16 1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase  CHLREDRAFT_82364 (HIS6)",(RefSeq) phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide isomerase,CHLREDRAFT_82364,CHLREDRAFT_82364 CDS T01039,K01814 phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16],,Pfam:?His_biosynth,NCBI-GeneID:?5726103NCBI-ProteinID:?XP_001700525JGI:?82364UniProt:?A8JDM6,cre00340 Histidine metabolismcre01100 Metabolic pathwayscre01110 Biosynthesis of secondary metabolitescre01230 Biosynthesis of amino acids,5726103,XP_001700525,A8JDM6
6627,,(RefSeq) hypothetical protein,CHLREDRAFT_82483,CHLREDRAFT_82483 CDS T01039,,,Pfam:?NfeD,NCBI-GeneID:?5726217NCBI-ProteinID:?XP_001700636JGI:?82483UniProt:?A8JDX7,,5726217,XP_001700636,A8JDX7
6628,,(RefSeq) hypothetical protein,CHLREDRAFT_82554,CHLREDRAFT_82554 CDS T01039,K07101 uncharacterized protein,,Pfam:?Pribosyltran,NCBI-GeneID:?5726806NCBI-ProteinID:?XP_001701249JGI:?82554UniProt:?A8JEN9,,5726806,XP_001701249,A8JEN9
6629,,(RefSeq) NO synthase-like protein,CHLREDRAFT_8258,CHLREDRAFT_8258 CDS T01039,,,Pfam:?MMR_HSR1 AAA_29,NCBI-GeneID:?5726531NCBI-ProteinID:?XP_001700794JGI:?8258UniProt:?A8I699,,5726531,XP_001700794,A8I699
6630,,(RefSeq) hypothetical protein,CHLREDRAFT_82793,CHLREDRAFT_82793 CDS T01039,,,Pfam:?MFS_1,NCBI-GeneID:?5727601NCBI-ProteinID:?XP_001702048JGI:?82793UniProt:?A8JFT2,,5727601,XP_001702048,A8JFT2
